acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,label
1.03,0.01,0.02,-1.31,1.5,-1.42,218.61,-354.93,-301.0,24660.0,none
1.02,0.01,0.01,-1.46,1.51,-1.36,220.37,-342.51,-316.39,24766.0,x up
1.02,0.01,0.01,-1.48,1.53,-1.39,223.9,-335.41,-302.71,24870.0,x up
1.02,0.01,0.02,-1.42,1.5,-1.24,222.13,-330.09,-304.42,24976.0,x up
1.03,0.01,0.02,-1.48,1.6,-1.39,225.66,-344.29,-307.84,25080.0,x up
1.02,0.01,0.01,-1.4,1.46,-1.34,229.18,-347.83,-304.42,25185.0,x up
1.02,0.01,0.01,-1.45,1.48,-1.28,225.66,-340.74,-301.0,25290.0,x up
1.03,0.01,0.02,-1.46,1.54,-1.37,225.66,-333.64,-301.0,25394.0,x up
1.02,0.01,0.02,-1.48,1.54,-1.36,225.66,-340.74,-307.84,25500.0,x up
1.02,0.01,0.02,-1.53,1.5,-1.4,229.18,-337.19,-304.42,25604.0,x up
1.02,0.01,0.01,-1.42,1.51,-1.36,223.9,-342.51,-309.55,25710.0,x up
1.02,0.01,0.01,-1.46,1.54,-1.33,220.37,-346.06,-299.29,25814.0,x up
1.02,0.01,0.02,-1.39,1.46,-1.3,222.13,-337.19,-304.42,25920.0,x up
1.02,0.01,0.02,-1.45,1.54,-1.45,227.42,-349.61,-302.71,26023.0,x up
1.02,0.01,0.01,-1.45,1.54,-1.37,230.95,-363.81,-302.71,26130.0,x up
1.02,0.01,0.01,-1.46,1.48,-1.3,216.84,-353.16,-302.71,26233.0,x up
1.02,0.01,0.02,-1.34,1.48,-1.37,218.61,-347.83,-307.84,26339.0,x up
1.02,0.01,0.01,-1.42,1.39,-1.36,216.84,-353.16,-292.45,26443.0,x up
1.02,0.01,0.01,-1.4,1.53,-1.34,220.37,-342.51,-302.71,26544.0,x up
1.03,0.01,0.02,-1.39,1.53,-1.28,229.18,-340.74,-290.74,26648.0,x up
1.02,0.01,0.01,-1.43,1.46,-1.33,220.37,-342.51,-309.55,26754.0,x up
1.02,0.01,0.01,-1.42,1.48,-1.31,209.79,-335.41,-295.87,26858.0,x up
1.03,0.01,0.02,-1.4,1.46,-1.4,229.18,-340.74,-307.84,26964.0,x up
1.02,0.01,0.02,-1.33,1.54,-1.33,229.18,-354.93,-301.0,27067.0,x up
1.02,0.01,0.02,-1.39,1.56,-1.36,220.37,-335.41,-295.87,27174.0,x up
1.02,0.01,0.02,-1.46,1.54,-1.31,215.08,-340.74,-304.42,27277.0,x up
1.02,0.01,0.01,-1.48,1.46,-1.33,222.13,-347.83,-297.58,27383.0,x up
