acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,sensor,dir
0.06,-0.13,-1.1,16.01,5.28,0.12,520.46,-31.07,791.57,4100263.0,gyro,
0.06,-0.13,-1.1,16.01,5.28,0.12,520.46,-31.07,791.57,4101137.0,gyro,
0.06,-0.13,-1.1,16.01,5.28,0.08,513.11,-38.38,798.62,4102925.0,gyro,
0.06,-0.13,-1.1,16.68,5.07,0.15,518.62,-29.24,796.86,11238766.0,gyro,
0.06,-0.13,-1.1,16.68,5.07,0.15,518.62,-29.24,796.86,11239708.0,gyro,
0.06,-0.13,-1.1,16.66,5.1,0.21,518.62,-29.24,796.86,11241261.0,gyro,
0.06,-0.13,-1.1,16.66,5.1,0.21,518.62,-29.24,796.86,11242196.0,gyro,
0.06,-0.13,-1.1,16.66,5.1,0.21,518.62,-29.24,796.86,11243131.0,gyro,
0.06,-0.13,-1.1,16.68,5.25,0.21,509.43,-34.72,802.14,11244986.0,gyro,
0.06,-0.13,-1.1,16.68,5.25,0.21,509.43,-34.72,802.14,11245914.0,gyro,
0.06,-0.13,-1.1,16.69,5.19,0.18,509.43,-34.72,802.14,11247458.0,gyro,
0.06,-0.13,-1.1,16.69,5.19,0.18,509.43,-34.72,802.14,11248393.0,gyro,
0.06,-0.13,-1.1,16.69,5.19,0.18,509.43,-34.72,802.14,11249312.0,gyro,
0.06,-0.13,-1.1,16.68,5.17,0.11,509.43,-34.72,802.14,11250867.0,gyro,
0.06,-0.13,-1.1,16.68,5.17,0.11,509.43,-34.72,802.14,11251806.0,gyro,
0.06,-0.13,-1.1,16.57,5.17,0.12,518.62,-25.58,789.8,11253661.0,gyro,
0.06,-0.13,-1.1,16.57,5.17,0.12,518.62,-25.58,789.8,11254595.0,gyro,
0.06,-0.13,-1.1,16.65,5.17,0.17,518.62,-25.58,789.8,11256142.0,gyro,
0.06,-0.13,-1.1,16.65,5.17,0.17,518.62,-25.58,789.8,11257087.0,gyro,
0.06,-0.13,-1.1,16.65,5.17,0.17,518.62,-25.58,789.8,11258027.0,gyro,
0.06,-0.13,-1.1,16.63,5.04,0.17,518.62,-25.58,789.8,11259570.0,gyro,
0.06,-0.13,-1.1,16.63,5.04,0.17,518.62,-25.58,789.8,11260508.0,gyro,
0.06,-0.13,-1.1,16.63,5.04,0.17,518.62,-25.58,789.8,11261441.0,gyro,
0.06,-0.13,-1.1,16.66,5.08,0.18,518.62,-25.58,789.8,11262991.0,gyro,
0.06,-0.13,-1.1,16.66,5.08,0.18,518.62,-25.58,789.8,11263929.0,gyro,
0.06,-0.13,-1.1,16.65,5.14,0.18,522.3,-32.89,782.75,11265779.0,gyro,
0.06,-0.13,-1.1,16.65,5.14,0.18,522.3,-32.89,782.75,11266706.0,gyro,
0.06,-0.13,-1.1,16.71,5.13,0.12,522.3,-32.89,782.75,11268245.0,gyro,
0.06,-0.13,-1.1,16.71,5.13,0.12,522.3,-32.89,782.75,11269181.0,gyro,
0.06,-0.13,-1.1,16.71,5.13,0.12,522.3,-32.89,782.75,11270115.0,gyro,
0.06,-0.13,-1.1,16.8,5.16,0.17,522.3,-32.89,782.75,11271670.0,gyro,
0.06,-0.13,-1.1,16.8,5.16,0.17,522.3,-32.89,782.75,11272614.0,gyro,
0.06,-0.13,-1.1,16.82,5.1,0.21,516.79,-20.1,791.57,11274455.0,gyro,
0.06,-0.13,-1.1,16.82,5.1,0.21,516.79,-20.1,791.57,11275403.0,gyro,
0.06,-0.13,-1.1,16.82,5.1,0.21,516.79,-20.1,791.57,11276340.0,gyro,
0.06,-0.13,-1.1,16.75,5.07,0.21,516.79,-20.1,791.57,11277891.0,gyro,
0.06,-0.13,-1.1,16.75,5.07,0.21,516.79,-20.1,791.57,11278834.0,gyro,
0.06,-0.13,-1.1,16.75,5.07,0.26,516.79,-20.1,791.57,11280385.0,gyro,
0.06,-0.13,-1.1,16.75,5.07,0.26,516.79,-20.1,791.57,11281307.0,gyro,
0.06,-0.13,-1.1,16.75,5.07,0.26,516.79,-20.1,791.57,11282245.0,gyro,
0.06,-0.13,-1.1,16.8,5.11,0.15,507.59,-40.2,807.43,11284084.0,gyro,
0.06,-0.13,-1.1,16.8,5.11,0.15,507.59,-40.2,807.43,11285028.0,gyro,
0.06,-0.13,-1.1,16.71,5.11,0.18,507.59,-40.2,807.43,11286588.0,gyro,
0.06,-0.13,-1.1,16.71,5.11,0.18,507.59,-40.2,807.43,11287528.0,gyro,
0.06,-0.13,-1.1,16.71,5.11,0.18,507.59,-40.2,807.43,11288456.0,gyro,
0.06,-0.13,-1.1,16.65,5.14,0.15,507.59,-40.2,807.43,11290019.0,gyro,
0.06,-0.13,-1.1,16.65,5.14,0.15,507.59,-40.2,807.43,11290967.0,gyro,
0.06,-0.13,-1.1,16.57,5.16,0.17,507.59,-40.2,807.43,11292514.0,gyro,
0.06,-0.13,-1.1,16.57,5.16,0.17,507.59,-40.2,807.43,11293436.0,gyro,
0.06,-0.13,-1.1,16.57,5.16,0.17,507.59,-40.2,807.43,11294383.0,gyro,
0.06,-0.13,-1.1,16.56,5.08,0.23,507.59,-29.24,796.86,11296241.0,gyro,
0.06,-0.13,-1.1,16.56,5.08,0.23,507.59,-29.24,796.86,11297183.0,gyro,
0.06,-0.13,-1.1,16.62,5.19,0.26,507.59,-29.24,796.86,11298737.0,gyro,
0.06,-0.13,-1.1,16.62,5.19,0.26,507.59,-29.24,796.86,11299664.0,gyro,
0.06,-0.13,-1.1,16.69,5.19,0.21,507.59,-29.24,796.86,11301209.0,gyro,
0.06,-0.13,-1.1,16.69,5.19,0.21,507.59,-29.24,796.86,11302152.0,gyro,
0.06,-0.13,-1.1,16.69,5.19,0.21,507.59,-29.24,796.86,11303084.0,gyro,
0.06,-0.13,-1.1,16.69,5.16,0.15,511.27,-29.24,800.38,11304943.0,gyro,
0.06,-0.13,-1.1,16.69,5.16,0.15,511.27,-29.24,800.38,11305887.0,gyro,
0.06,-0.13,-1.1,16.6,5.17,0.17,511.27,-29.24,800.38,11307432.0,gyro,
0.06,-0.13,-1.1,16.6,5.17,0.17,511.27,-29.24,800.38,11308372.0,gyro,
0.06,-0.13,-1.1,16.6,5.17,0.17,511.27,-29.24,800.38,11309318.0,gyro,
0.06,-0.13,-1.1,16.63,5.14,0.21,511.27,-29.24,800.38,11310864.0,gyro,
0.06,-0.13,-1.1,16.63,5.14,0.21,511.27,-29.24,800.38,11311804.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.21,511.27,-29.24,800.38,11313359.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.21,511.27,-29.24,800.38,11314301.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.21,511.27,-29.24,800.38,11315239.0,gyro,
0.06,-0.13,-1.1,16.78,5.13,0.24,535.18,-23.76,798.62,11317092.0,gyro,
0.06,-0.13,-1.1,16.78,5.13,0.24,535.18,-23.76,798.62,11318037.0,gyro,
0.06,-0.13,-1.1,16.77,5.11,0.18,535.18,-23.76,798.62,11319599.0,gyro,
0.06,-0.13,-1.1,16.77,5.11,0.18,535.18,-23.76,798.62,11320539.0,gyro,
0.06,-0.13,-1.1,16.78,5.19,0.17,535.18,-23.76,798.62,11322091.0,gyro,
0.06,-0.13,-1.1,16.78,5.19,0.17,535.18,-23.76,798.62,11323038.0,gyro,
0.06,-0.13,-1.1,16.78,5.19,0.17,535.18,-23.76,798.62,11323986.0,gyro,
0.06,-0.13,-1.1,16.85,5.14,0.18,511.27,-29.24,789.8,11325837.0,gyro,
0.06,-0.13,-1.1,16.85,5.14,0.18,511.27,-29.24,789.8,11326783.0,gyro,
0.06,-0.13,-1.1,16.85,5.16,0.18,511.27,-29.24,789.8,11328325.0,gyro,
0.06,-0.13,-1.1,16.85,5.16,0.18,511.27,-29.24,789.8,11329262.0,gyro,
0.06,-0.13,-1.1,16.85,5.16,0.18,511.27,-29.24,789.8,11330206.0,gyro,
0.06,-0.13,-1.1,16.78,5.14,0.14,511.27,-29.24,789.8,11331762.0,gyro,
0.06,-0.13,-1.1,16.78,5.14,0.14,511.27,-29.24,789.8,11332718.0,gyro,
0.06,-0.13,-1.1,16.72,5.17,0.17,524.14,-16.45,791.57,11334570.0,gyro,
