acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,sensor,dir
1.02,0.01,-0.07,16.91,5.13,0.0,-169.2,296.04,278.55,21099383.0,gyro,
1.02,0.01,-0.07,16.85,5.13,0.0,-160.0,308.83,287.36,21102184.0,gyro,
1.02,0.01,-0.07,16.85,5.13,-0.12,-160.0,308.83,287.36,21104398.0,gyro,
1.02,0.01,-0.07,16.85,5.13,-0.12,-160.0,308.83,287.36,21106286.0,gyro,
1.01,0.01,-0.07,16.91,5.13,-0.06,-160.0,308.83,287.36,21109386.0,gyro,
1.02,0.01,-0.07,16.91,5.13,0.0,-167.36,323.45,283.84,21112179.0,gyro,
1.02,0.01,-0.07,16.85,5.19,0.06,-167.36,323.45,283.84,21114369.0,gyro,
1.02,0.01,-0.07,16.78,5.13,0.06,-167.36,323.45,283.84,21116882.0,gyro,
1.01,0.01,-0.07,16.78,5.07,0.06,-167.36,323.45,283.84,21119381.0,gyro,
1.01,0.01,-0.07,16.78,5.07,0.06,-167.36,323.45,283.84,21121269.0,gyro,
1.01,0.01,-0.07,16.78,5.07,0.0,-160.0,290.55,269.73,21124667.0,gyro,
1.02,0.01,-0.07,16.78,5.13,0.0,-160.0,290.55,269.73,21126879.0,gyro,
1.02,0.01,-0.07,16.78,5.07,0.0,-160.0,290.55,269.73,21129373.0,gyro,
1.02,0.01,-0.07,16.78,5.07,-0.06,-167.36,312.48,297.94,21132184.0,gyro,
1.02,0.01,-0.07,16.78,5.07,-0.06,-167.36,312.48,297.94,21134386.0,gyro,
1.02,0.01,-0.07,16.78,5.07,-0.06,-167.36,312.48,297.94,21136274.0,gyro,
1.02,0.01,-0.07,16.85,5.0,-0.06,-167.36,312.48,297.94,21139391.0,gyro,
1.02,0.01,-0.07,16.91,5.07,-0.06,-161.84,310.65,285.6,21142184.0,gyro,
1.02,0.01,-0.07,16.91,5.19,0.0,-161.84,310.65,285.6,21144372.0,gyro,
1.02,0.01,-0.07,16.85,5.19,-0.06,-161.84,310.65,285.6,21146887.0,gyro,
1.02,0.01,-0.07,16.78,5.19,0.0,-161.84,310.65,285.6,21149379.0,gyro,
1.02,0.01,-0.07,16.78,5.19,0.0,-161.84,310.65,285.6,21151274.0,gyro,
1.02,0.01,-0.07,16.78,5.19,0.06,-167.36,316.14,294.41,21154683.0,gyro,
1.02,0.01,-0.07,16.78,5.13,0.06,-167.36,316.14,294.41,21156880.0,gyro,
1.02,0.01,-0.07,16.78,5.13,0.06,-167.36,316.14,294.41,21159387.0,gyro,
1.02,0.01,-0.07,16.85,5.07,0.12,-161.84,314.31,282.07,21162181.0,gyro,
1.02,0.01,-0.07,16.85,5.13,0.18,-161.84,314.31,282.07,21164373.0,gyro,
1.02,0.01,-0.07,16.85,5.13,0.18,-161.84,314.31,282.07,21166268.0,gyro,
1.02,0.01,-0.07,16.85,5.13,0.06,-161.84,314.31,282.07,21169385.0,gyro,
1.02,0.01,-0.07,16.78,5.13,0.06,-154.48,314.31,278.55,21172181.0,gyro,
