acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,sensor,dir
-0.03,0.57,-0.81,-1.01,2.3,-0.55,37.02,484.48,-1414.37,139342597.0,gyro,
-0.03,0.57,-0.81,-0.32,2.52,-0.41,37.02,484.48,-1414.37,139346925.0,gyro,
-0.03,0.57,-0.81,-0.34,2.66,-0.29,49.36,489.81,-1409.24,139352664.0,gyro,
-0.02,0.58,-0.81,-1.65,1.42,-1.07,49.36,489.81,-1409.24,143144181.0,gyro,
-0.02,0.58,-0.82,-1.57,1.39,-1.04,49.36,489.81,-1409.24,143148048.0,gyro,
-0.02,0.58,-0.82,-1.65,1.45,-1.08,47.6,470.29,-1414.37,143153886.0,gyro,
-0.02,0.58,-0.81,-1.83,1.5,-1.14,47.6,470.29,-1414.37,143157755.0,gyro,
-0.02,0.58,-0.81,-1.69,1.53,-1.16,44.07,477.39,-1417.79,143164063.0,gyro,
-0.02,0.58,-0.82,-1.48,1.56,-1.07,44.07,477.39,-1417.79,143167932.0,gyro,
-0.02,0.58,-0.82,-1.65,1.5,-1.01,44.07,480.94,-1414.37,143173770.0,gyro,
-0.02,0.58,-0.81,-2.01,1.5,-1.11,44.07,480.94,-1414.37,143177640.0,gyro,
-0.02,0.58,-0.81,-1.83,1.48,-1.14,58.18,470.29,-1407.53,143183933.0,gyro,
-0.02,0.58,-0.82,-1.42,1.48,-1.14,58.18,470.29,-1407.53,143187805.0,gyro,
-0.02,0.58,-0.82,-1.59,1.54,-1.14,59.94,482.71,-1398.98,143194091.0,gyro,
-0.02,0.58,-0.82,-1.83,1.54,-1.21,59.94,482.71,-1398.98,143197960.0,gyro,
-0.02,0.58,-0.81,-1.54,1.54,-1.17,51.13,484.48,-1404.11,143203799.0,gyro,
-0.02,0.58,-0.82,-1.36,1.57,-1.14,51.13,484.48,-1404.11,143207672.0,gyro,
-0.02,0.58,-0.82,-1.63,1.51,-1.11,45.84,472.06,-1392.14,143213957.0,gyro,
-0.02,0.58,-0.82,-1.8,1.53,-1.07,45.84,472.06,-1392.14,143217825.0,gyro,
-0.02,0.58,-0.81,-1.51,1.51,-1.11,44.07,477.39,-1400.69,143223667.0,gyro,
-0.02,0.58,-0.82,-1.45,1.63,-1.08,44.07,477.39,-1400.69,143227992.0,gyro,
-0.02,0.58,-0.82,-1.59,1.56,-1.07,63.47,482.71,-1409.24,143233825.0,gyro,
-0.02,0.58,-0.82,-1.68,1.5,-1.08,63.47,482.71,-1409.24,143237702.0,gyro,
-0.02,0.58,-0.82,-1.63,1.48,-1.1,44.07,488.03,-1400.69,143243990.0,gyro,
-0.02,0.58,-0.82,-1.51,1.43,-1.04,44.07,488.03,-1400.69,143247848.0,gyro,
-0.02,0.58,-0.82,-1.48,1.42,-1.07,45.84,475.61,-1402.4,143253686.0,gyro,
-0.02,0.57,-0.82,-1.72,1.46,-1.1,45.84,475.61,-1402.4,143257562.0,gyro,
-0.02,0.58,-0.82,-1.66,1.48,-1.1,37.02,480.94,-1397.27,143263857.0,gyro,
-0.02,0.58,-0.82,-1.48,1.56,-1.17,37.02,480.94,-1397.27,143267733.0,gyro,
-0.02,0.58,-0.82,-1.69,1.48,-1.14,47.6,488.03,-1404.11,143273594.0,gyro,
-0.02,0.58,-0.82,-1.92,1.46,-1.1,47.6,488.03,-1404.11,143277906.0,gyro,
-0.02,0.57,-0.82,-1.63,1.48,-1.11,51.13,484.48,-1393.85,143283752.0,gyro,
-0.02,0.58,-0.82,-1.5,1.43,-1.19,51.13,484.48,-1393.85,143287635.0,gyro,
-0.02,0.58,-0.82,-1.79,1.45,-1.19,49.36,468.51,-1419.5,143293932.0,gyro,
-0.02,0.58,-0.81,-1.89,1.46,-1.28,49.36,468.51,-1419.5,143297809.0,gyro,
-0.02,0.58,-0.81,-1.53,1.4,-1.24,44.07,495.13,-1387.01,143303654.0,gyro,
-0.02,0.58,-0.82,-1.39,1.51,-1.24,44.07,495.13,-1387.01,143307516.0,gyro,
-0.02,0.58,-0.82,-1.65,1.42,-1.24,59.94,493.36,-1402.4,143313810.0,gyro,
-0.02,0.58,-0.81,-1.88,1.42,-1.17,59.94,493.36,-1402.4,143317691.0,gyro,
-0.02,0.58,-0.81,-1.72,1.51,-1.07,58.18,477.39,-1400.69,143323549.0,gyro,
-0.02,0.58,-0.81,-1.45,1.51,-1.08,58.18,477.39,-1400.69,143327903.0,gyro,
-0.02,0.58,-0.82,-1.63,1.56,-1.07,42.31,475.61,-1402.4,143333760.0,gyro,
-0.02,0.58,-0.82,-1.66,1.51,-1.14,42.31,475.61,-1402.4,143337628.0,gyro,
-0.02,0.58,-0.82,-1.46,1.48,-1.1,51.13,459.64,-1424.63,143343932.0,gyro,
-0.02,0.58,-0.82,-1.56,1.48,-1.16,51.13,459.64,-1424.63,143347813.0,gyro,
-0.02,0.58,-0.81,-1.82,1.5,-1.13,47.6,480.94,-1397.27,143353650.0,gyro,
-0.02,0.58,-0.81,-1.72,1.59,-1.16,47.6,480.94,-1397.27,143357526.0,gyro,
-0.02,0.58,-0.81,-1.43,1.56,-1.11,59.94,475.61,-1409.24,143363809.0,gyro,
-0.02,0.58,-0.82,-1.31,1.62,-1.07,59.94,475.61,-1409.24,143367693.0,gyro,
-0.02,0.58,-0.82,-1.79,1.54,-1.14,52.89,479.16,-1402.4,143373542.0,gyro,
-0.02,0.58,-0.82,-1.83,1.48,-1.19,52.89,479.16,-1402.4,143377867.0,gyro,
-0.02,0.58,-0.81,-1.5,1.51,-1.14,63.47,479.16,-1392.14,143383714.0,gyro,
-0.02,0.58,-0.82,-1.36,1.56,-1.1,63.47,479.16,-1392.14,143387593.0,gyro,
-0.02,0.58,-0.82,-1.57,1.5,-1.14,56.41,489.81,-1402.4,143393876.0,gyro,
-0.02,0.58,-0.82,-1.63,1.48,-1.05,56.41,489.81,-1402.4,143397755.0,gyro,
-0.02,0.58,-0.82,-1.56,1.51,-1.1,49.36,482.71,-1388.72,143403609.0,gyro,
-0.02,0.58,-0.82,-1.75,1.5,-1.02,49.36,482.71,-1388.72,143407484.0,gyro,
-0.02,0.58,-0.82,-1.89,1.45,-1.1,44.07,480.94,-1407.53,143413781.0,gyro,
-0.02,0.58,-0.82,-1.66,1.42,-1.1,44.07,480.94,-1407.53,143417652.0,gyro,
-0.02,0.58,-0.82,-1.48,1.5,-1.04,44.07,480.94,-1404.11,143423488.0,gyro,
-0.02,0.58,-0.81,-1.74,1.48,-1.11,44.07,480.94,-1404.11,143427814.0,gyro,
-0.02,0.58,-0.82,-1.88,1.45,-1.11,54.65,491.58,-1390.43,143433656.0,gyro,
-0.02,0.58,-0.82,-1.69,1.39,-1.07,54.65,491.58,-1390.43,143437538.0,gyro,
-0.02,0.58,-0.82,-1.48,1.5,-1.14,51.13,484.48,-1410.95,143443836.0,gyro,
-0.02,0.58,-0.82,-1.6,1.5,-1.21,51.13,484.48,-1410.95,143447714.0,gyro,
-0.02,0.57,-0.82,-1.83,1.4,-1.14,65.23,484.48,-1414.37,143453559.0,gyro,
-0.02,0.58,-0.81,-1.75,1.45,-1.14,65.23,484.48,-1414.37,143457439.0,gyro,
-0.02,0.58,-0.81,-1.59,1.57,-1.21,52.89,475.61,-1405.82,143463730.0,gyro,
-0.02,0.58,-0.81,-1.6,1.53,-1.13,52.89,475.61,-1405.82,143467615.0,gyro,
-0.02,0.58,-0.81,-1.59,1.56,-1.17,45.84,486.26,-1405.82,143473456.0,gyro,
-0.02,0.58,-0.81,-1.59,1.48,-1.24,45.84,486.26,-1405.82,143477774.0,gyro,
-0.02,0.58,-0.81,-1.63,1.42,-1.19,58.18,477.39,-1404.11,143483622.0,gyro,
-0.02,0.58,-0.81,-1.79,1.51,-1.21,58.18,477.39,-1404.11,143487498.0,gyro,
-0.02,0.58,-0.81,-1.8,1.51,-1.17,56.41,479.16,-1398.98,143493797.0,gyro,
-0.02,0.58,-0.81,-1.5,1.51,-1.11,56.41,479.16,-1398.98,143497672.0,gyro,
-0.02,0.58,-0.81,-1.39,1.5,-1.07,52.89,482.71,-1412.66,143503518.0,gyro,
-0.02,0.58,-0.82,-1.6,1.46,-1.07,52.89,482.71,-1412.66,143507387.0,gyro,
-0.02,0.58,-0.81,-1.79,1.54,-1.1,47.6,477.39,-1410.95,143513687.0,gyro,
-0.02,0.58,-0.81,-1.72,1.57,-1.08,47.6,477.39,-1410.95,143517564.0,gyro,
-0.02,0.58,-0.82,-1.56,1.53,-1.14,47.6,491.58,-1407.53,143523400.0,gyro,
-0.02,0.58,-0.82,-1.5,1.59,-1.14,47.6,491.58,-1407.53,143527720.0,gyro,
-0.02,0.58,-0.82,-1.68,1.46,-1.16,45.84,472.06,-1392.14,143533579.0,gyro,
-0.02,0.58,-0.82,-1.71,1.56,-1.17,45.84,472.06,-1392.14,143537453.0,gyro,
-0.02,0.58,-0.82,-1.62,1.54,-1.17,44.07,473.84,-1410.95,143543743.0,gyro,
-0.02,0.58,-0.82,-1.5,1.56,-1.19,44.07,473.84,-1410.95,143547621.0,gyro,
