acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,sensor,dir
-0.03,-0.49,0.89,-1.59,1.33,-0.95,-100.49,278.62,-716.59,37812033.0,gyro,
-0.03,-0.49,0.9,-1.62,1.33,-0.99,-100.49,278.62,-716.59,37815860.0,gyro,
-0.03,-0.5,0.9,-1.68,1.28,-0.95,-91.67,283.95,-714.88,37822095.0,gyro,
-0.03,-0.49,0.9,-1.59,1.39,-1.08,-91.67,283.95,-714.88,45399772.0,gyro,
-0.03,-0.5,0.9,-1.59,1.34,-1.11,-91.67,283.95,-714.88,45403656.0,gyro,
-0.03,-0.5,0.9,-1.62,1.43,-1.02,-111.07,271.52,-723.43,45409035.0,gyro,
-0.03,-0.49,0.9,-1.65,1.39,-1.11,-111.07,271.52,-723.43,45412922.0,gyro,
-0.03,-0.5,0.89,-1.69,1.4,-1.05,-91.67,273.3,-735.4,45419221.0,gyro,
-0.03,-0.49,0.9,-1.54,1.4,-1.04,-91.67,273.3,-735.4,45423088.0,gyro,
-0.03,-0.49,0.89,-1.65,1.46,-0.99,-84.62,259.1,-742.24,45429380.0,gyro,
-0.03,-0.49,0.9,-1.57,1.4,-1.02,-84.62,259.1,-742.24,45433257.0,gyro,
-0.03,-0.49,0.89,-1.62,1.39,-0.95,-93.44,271.52,-730.27,45439090.0,gyro,
-0.03,-0.49,0.89,-1.59,1.33,-1.01,-93.44,271.52,-730.27,45442975.0,gyro,
-0.03,-0.49,0.9,-1.63,1.33,-0.93,-96.96,278.62,-733.69,45449262.0,gyro,
-0.03,-0.49,0.9,-1.69,1.48,-1.1,-96.96,278.62,-733.69,45453139.0,gyro,
-0.03,-0.49,0.9,-1.65,1.39,-1.02,-82.86,278.62,-733.69,45458972.0,gyro,
-0.03,-0.49,0.89,-1.6,1.46,-1.04,-82.86,278.62,-733.69,45463294.0,gyro,
-0.03,-0.5,0.9,-1.63,1.36,-1.01,-89.91,267.97,-723.43,45469140.0,gyro,
-0.03,-0.49,0.89,-1.65,1.34,-1.01,-89.91,267.97,-723.43,45473021.0,gyro,
-0.03,-0.5,0.89,-1.63,1.37,-0.84,-91.67,262.65,-731.98,45479311.0,gyro,
-0.03,-0.49,0.9,-1.46,1.39,-0.87,-91.67,262.65,-731.98,45483180.0,gyro,
-0.03,-0.5,0.9,-1.66,1.43,-0.95,-84.62,283.95,-735.4,45489015.0,gyro,
-0.03,-0.49,0.9,-1.51,1.5,-0.9,-84.62,283.95,-735.4,45492899.0,gyro,
-0.03,-0.5,0.9,-1.66,1.37,-0.87,-102.25,273.3,-745.67,45499203.0,gyro,
-0.03,-0.5,0.9,-1.65,1.33,-0.92,-102.25,273.3,-745.67,45503080.0,gyro,
-0.03,-0.5,0.89,-1.65,1.36,-0.93,-88.15,262.65,-742.24,45508923.0,gyro,
-0.03,-0.5,0.9,-1.69,1.39,-1.01,-88.15,262.65,-742.24,45512811.0,gyro,
-0.03,-0.49,0.9,-1.66,1.45,-1.02,-95.2,262.65,-718.3,45519120.0,gyro,
-0.03,-0.49,0.89,-1.65,1.36,-1.01,-95.2,262.65,-718.3,45523009.0,gyro,
-0.03,-0.49,0.9,-1.62,1.33,-0.96,-88.15,273.3,-742.24,45528839.0,gyro,
-0.03,-0.49,0.9,-1.66,1.36,-1.04,-88.15,273.3,-742.24,45533183.0,gyro,
-0.03,-0.5,0.9,-1.63,1.37,-1.04,-98.73,262.65,-731.98,45539026.0,gyro,
-0.03,-0.5,0.89,-1.6,1.42,-1.02,-98.73,262.65,-731.98,45542916.0,gyro,
-0.03,-0.49,0.89,-1.74,1.34,-1.08,-77.57,273.3,-735.4,45549220.0,gyro,
